"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.1"	"IFN.1.1"	"IFN.1.2"	"TNF.1"	"TNF.1.1"	"TNF.1.2"	"TNF.IFN.1"	"TNF.IFN.1.1"	"TNF.IFN.1.2"
"1991"	"GDE1"	"GDE1"	9.98497189304744	10.2658479428779	9.91947279575969	10.3385288545069	10.4334240938543	10.3222585141867	10.336441971401	10.1475923677468	10.2734397315085	10.0931857017367	10.1443489112817	10.2004073278992
"1992"	"LEPROTL1"	"LEPROTL1"	9.96427468713018	10.2179079157767	9.72231365825781	10.2656130512279	10.1394474609569	10.2421482997509	9.93133948703508	9.97851633968646	10.033727732732	10.2412521173501	10.4127728269244	10.5117645060439
"1993"	"ENSA"	"ENSA"	11.6687913024649	11.5974417822652	11.5757052239684	11.6732533957026	11.4390419530428	11.7895784038734	11.5426896105652	11.4753175348874	11.5655578071249	11.5032064765737	11.5423848500124	11.5790116183803
"1994"	"S100A13"	"S100A13"	5.97865493173265	6.03794026846671	5.8550561753113	6.44059012682151	5.76258732485017	5.96355145098792	5.6073590143128	5.5371325007859	5.92467170924349	6.18951197904006	6.08947508373949	5.95615401673285
"1995"	"NRIP1"	"NRIP1"	8.50362811972956	8.79562085357761	8.60693949027893	9.04547725459954	9.49891207426715	9.34458442458963	9.31739660598105	9.24315866134981	9.10420483659744	10.771902595102	10.6934520940067	10.7282389292187
"1996"	"HTATSF1"	"HTATSF1"	10.0271271146933	10.1247516564555	10.1575061979682	10.2335766074239	10.0051292206874	9.92888467115163	10.2698564682755	10.1788395363107	10.0836143011819	10.2625310892087	10.3187243495784	10.2051141994258
"1997"	"ADAM10"	"ADAM10"	12.1003141869784	12.2101063382544	12.0974097142321	12.1882634708994	12.3447484279413	12.3278873695403	12.3234460298004	12.3152543822813	12.2541748938987	12.3160260483346	12.3097670482909	12.235115152582
"1998"	"GUSB"	"GUSB"	11.6434575943754	11.6339885579094	11.703987242137	11.8430440775743	11.8036277956889	11.632120901517	11.5811169107657	11.568879763026	11.6638066038899	11.6391130957469	11.6213799272551	11.674303150429
"1999"	"TLK1"	"TLK1"	9.7583000452655	9.83283213399662	9.81383151846776	10.4525120194959	10.6987778505864	10.601876095116	10.6822132557646	10.7000043061702	10.5677537418868	10.5085849270215	10.4520593910309	10.3007227334328
"2000"	"EPS8"	"EPS8"	7.74837807496733	7.903728854407	7.66218404006892	7.8937101682272	7.74112547252456	7.86610712436213	7.64953239920803	7.5592576839229	7.86180022531814	8.35366839179713	8.34413494156662	8.11040488252631
"2001"	"MED14"	"MED14"	8.15238515500253	8.0124944028677	8.27249903099416	7.51106475805516	8.53358196767668	8.54121038237691	8.7454031230755	8.72113331874069	8.67468855386796	8.6256635368952	8.44227759957027	8.55592866706943
"2002"	"CTPS1"	"CTPS1"	6.40859039215017	6.30546444429603	6.07856216051194	6.13643508686435	6.28653907921105	6.66776881157471	6.78261395405008	6.4092804556134	6.38309048222914	6.36849816642483	5.97930744608492	6.35126157917595
"2003"	"SLC30A9"	"SLC30A9"	10.0609380769067	10.3009519037121	9.86313418725147	9.90223668042815	10.0120933761242	10.0755486017134	9.99077375475088	10.0826664664236	9.9879234692515	10.0736423624496	10.0131694695683	10.0572145656541
"2004"	"GNAQ"	"GNAQ"	11.6008896116318	11.6642163074309	11.4897365297855	11.6254968017512	11.7037889248632	11.6132252992116	11.8432717612271	11.8693436882647	11.8113393345303	11.7686460141535	11.6293778824539	11.5418787884131
"2005"	"MECP2"	"MECP2"	5.95141138190459	5.98270097190663	5.98119983756332	5.79116249977123	5.98270097190663	5.98270097190663	6.02039749122118	5.98270097190663	6.09859390164163	6.01861947795119	5.90654830266069	5.98270097190663
"2006"	"IRF3"	"IRF3"	6.14394494970686	6.18896555085979	6.11657307783837	6.26013989167077	6.52562961955058	6.39951654879847	6.44754044992793	6.34749912961717	6.39951654879847	6.50180449351918	6.39951654879847	6.71056952792591
"2007"	"ATXN2"	"ATXN2"	5.36639416552714	4.77776689913819	5.43744692797076	6.42897868129992	6.37549145553758	6.35883325449233	7.02066241755985	6.93466419101565	6.99872258101143	6.39420002905589	6.0968301917125	6.00705338533125
"2008"	"EAPP"	"EAPP"	9.54311930771276	9.73874563808318	9.50768810817414	9.61583192877077	9.7094439089565	9.81936959276865	9.95816903215391	9.91029059153284	9.86921191878932	9.89211918517588	9.98693312585695	9.89795049233918
"2009"	"CABIN1"	"CABIN1"	6.37046715097361	5.89220252935602	6.51867372443957	6.5460276656961	6.80107094598649	6.63478584523457	6.98931817072382	6.67336436286072	6.8307169368305	6.85858017851843	6.63204883346219	6.84388815053535
"2010"	"LYN"	"LYN"	11.7859499662595	11.629448305023	11.7440282003874	11.6853142440567	11.6239510213714	11.6414320264392	11.3083744175082	11.3029447367644	11.3594738277668	12.4829305166769	12.2682808769217	12.3863061031783
"2011"	"APPBP2"	"APPBP2"	7.75885273848437	7.81647016925019	7.72998929027943	8.22605797240577	8.33099875999508	8.28498628222385	8.40422892866852	8.29625517917037	8.26032747371954	8.21365783386736	8.22215287959501	8.25454347634461
